property_id,url,title,price,price_display,price_currency,property_type,region,district,full_address,latitude,longitude,land_size_sqm,building_size_sqm,bedrooms,bathrooms,maid_bedrooms,maid_bathrooms,floors,carports,garages,condition,certificate_type,furnished_status,electricity_watt,facing_direction,building_material,floor_material,water_source,facilities,agent_name,agent_company,scraped_at,mall_5km,school_5km,school_2km,hospital_5km,hospital_2km,transit_1km,transit_5km,park_5km
hos41006685,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-rapih-full-furnished-bagus-2-lantai-layar-permai-pik-shm-hos41006685/,Rumah Rapih Full Furnished Bagus 2 Lantai Layar Permai Pik SHM,1800000000.0,"Rp 1,8 Miliar",IDR,Rumah,Jakarta Utara,"Pantai Indah Kapuk, Jakarta Utara","Jl. Layar Permai 10 no 77, Kapuk Muara, Penjaringan, Kota Jakarta Utara, DKI Jakarta, Indonesia",-6.102623,106.74115,48.0,64.0,2.0,2.0,,1.0,2.0,1.0,,Bagus,SHM,Furnished,,Utara,,Keramik,PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, One Gate System, Laundry, Wastafel, Kulkas, Mesin Cuci, Kitchen Set, Kompor, Teras, AC, Tempat Cuci",Candra Tjhai,ERA FIESTA PIK,2026-02-20T17:00:36.311125+00:00,4,9,5,7,3,4,8,3
hos41013161,https://www.rumah123.com/properti/jakarta-barat-duri-kepa/ana-rumah-baru-3lt-luas-55x116m-modern-minimalis-di-duri-kepa-kebon-jeruk-good-deal-hos41013161/,"Ana Rumah Baru 3Lt Luas 5.5X11.6m Modern Minimalis di Duri Kepa, Kebon Jeruk - * Good- Deal !!*",2270000000.0,"Rp 2,27 Miliar",IDR,Rumah,Jakarta Barat,"Duri Kepa, Jakarta Barat",Perumahan/Komplek,-6.17365,106.775772,64.0,181.0,5.0,3.0,1.0,1.0,3.0,2.0,,,SHM,Unfurnished,2200.0,Selatan,,Granit,PAM atau PDAM,,ANA*PROPERTY JELAMBAR,ANA*PROPERTY JELAMBAR,2026-02-20T17:00:36.916735+00:00,6,13,5,5,2,2,10,5
hos41041529,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-rapih-kelapa-gading-shm-hos41041529/,Dijual Rumah Rapih Kelapa Gading SHM,3500000000.0,"Rp 3,5 Miliar",IDR,Rumah,Jakarta Utara,"Kelapa Gading, Jakarta Utara","Jl. Pelepah Raya No. Bl Wt1/11, Kelapa Gading Timur, Kelapa Gading, Kota Jakarta Utara, DKI Jakarta, Indonesia, 14240",-6.15808,106.918152,126.0,267.0,4.0,4.0,1.0,1.0,2.0,2.0,,Bagus,SHM,Semi Furnished,4400.0,Barat Daya,,,PAM atau PDAM,,Candra Tjhai,ERA FIESTA PIK,2026-02-20T17:00:39.008274+00:00,4,15,3,9,1,4,10,5
hos18654220,https://www.rumah123.com/properti/jakarta-timur-cibubur/3-menit-ke-lrt-harjamukti-tol-jagorawi-rumah-2-lt-baru-renovasi-hos18654220/,"Murah, Dekat LRT Harjamukti & Tol, Rumah 2 Lantai, Baru Renovasi",1000000000.0,Rp 1 Miliar,IDR,Rumah,Jakarta Timur,"Cibubur, Jakarta Timur",Komplek Perumahan,-6.35611,106.895111,95.0,105.0,3.0,2.0,,,2.0,1.0,,Sudah Renovasi,HGB,Unfurnished,2200.0,,Bata Merah,,Sumur Pompa,"Keamanan 24 Jam, Masjid, Akses Parkir, Taman, Tempat Jemuran",Handayani,$undefined,2026-02-20T17:00:41.346432+00:00,4,13,4,4,2,1,10,5
hos39654227,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-murah-15-lantai-bisa-untuk-kost-6-kamar-cempaka-putih-jkt-hos39654227/,Rumah Murah 1.5 Lantai bisa untuk Kost 6 Kamar Cempaka Putih Jkt,3600000000.0,"Rp 3,6 Miliar",IDR,Rumah,Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",Perumahan/Komplek,-6.18128,106.87535,145.0,100.0,6.0,2.0,1.0,1.0,2.0,,,Renovasi Minimum,SHM,Unfurnished,4400.0,,Bata Merah,Keramik,PAM atau PDAM,"Taman, Wastafel, Kitchen Set, Tempat Jemuran, Taman, Teras",Darto,Matrix Propertindo,2026-02-20T17:00:42.268496+00:00,8,20,5,9,4,3,15,8
hos41092432,https://www.rumah123.com/properti/jakarta-timur-cibubur/5-menit-ke-lrt-harjamukti-rumah-hook-2-lt-akses-strategis-hos41092432/,"Hook, 5 Menit ke LRT Harjamukti, Rumah 2 Lantai, Dekat Masjid",1950000000.0,"Rp 1,95 Miliar",IDR,Rumah,Jakarta Timur,"Cibubur, Jakarta Timur",Komplek Perumahan,-6.35611,106.895111,197.0,100.0,4.0,3.0,,1.0,2.0,1.0,,Bagus,SHM,Semi Furnished,5500.0,Barat,Bata Merah,,Sumur Bor,"Masjid, Akses Parkir, Taman, CCTV, One Gate System, Wastafel, Tempat Jemuran, Taman, Teras, AC, Backyard, Tempat Cuci",Handayani,$undefined,2026-02-20T17:00:42.299973+00:00,4,12,4,7,1,2,9,4
hos39783590,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/rumah-murah-dibawah-njop-bisa-untuk-usaha-kepu-selatan-kemayoran-hos39783590/,Rumah Murah Dibawah Njop Bisa Untuk Usaha Kepu Selatan Kemayoran,8400000000.0,"Rp 8,4 Miliar",IDR,Rumah,Jakarta Pusat,"Kemayoran, Jakarta Pusat",Fasilitas Perumahan,-6.1857,106.853,410.0,400.0,4.0,4.0,1.0,1.0,2.0,3.0,,Renovasi Total,HGB,Unfurnished,2200.0,Utara,Bata Merah,Keramik,Sumur Pompa,"Akses Parkir, Wastafel, Tempat Jemuran",Darto,Matrix Propertindo,2026-02-20T17:00:43.217773+00:00,5,15,6,7,3,2,12,6
hos40963384,https://www.rumah123.com/properti/jakarta-selatan-lebak-bulus/rumah-modern-di-lebak-bulus-gratis-mobil-listrik-dan-kitchen-set-hos40963384/,"Rumah Modern di Lebak Bulus, Gratis Mobil Listrik & Kitchen Set",1700000000.0,"Rp 1,7 Miliar",IDR,Rumah,Jakarta Selatan,"Lebak Bulus, Jakarta Selatan","Jl. Lebak Bulus I No. 5, Cilandak Barat, Cilandak, Kota Jakarta Selatan, DKI Jakarta, Indonesia, 12430",-6.31254,106.804207,100.0,129.0,4.0,3.0,,,2.0,2.0,,Bagus,SHM,Furnished,3300.0,Selatan,Bata Hebel,"Granit, Keramik, Ubin, Vinyl",PAM atau PDAM,"Keamanan 24 Jam, Masjid, Akses Parkir, Taman, CCTV, One Gate System, Jogging Track, Taman Bermain, Wastafel, Kitchen Set, Kompor, Water Heater, Tempat Jemuran, Telepon, Taman, Teras, CCTV, AC, Backyard, Tempat Cuci",Adi,PropertiTour,2026-02-20T17:28:06.122095+00:00,8,18,7,8,1,5,10,7
hos40781900,https://www.rumah123.com/properti/jakarta-selatan-lebak-bulus/rumah-mewah-modern-classic-di-lebak-bulus-lokasi-paling-strategis-tanah-luas-eksklusifdi-jakarta-selatan-hos40781900/,Modern Classic di Lebak Bulus 5 Menit MRT Lebakbulus Paling Murah,2550000000.0,"Rp 2,55 Miliar",IDR,Rumah,Jakarta Selatan,"Lebak Bulus, Jakarta Selatan","Bamboo Premium Residence, Jl. Tamansari I No.65, Lebak Bulus, Cilandak, Kota Jakarta Selatan, DKI Jakarta, Indonesia, 12440",-6.31254,106.804207,81.0,150.0,4.0,4.0,1.0,1.0,2.0,2.0,,Bagus,SHM,Unfurnished,3300.0,,"Bata Merah, Bata Hebel","Granit, Keramik, Ubin",PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, Taman, Kolam Renang, One Gate System, Wastafel, Kitchen Set, Kompor, Water Heater, Tempat Jemuran, Telepon, Taman, Teras, CCTV, AC, Backyard, Tempat Cuci",Adi,PropertiTour,2026-02-20T17:28:06.306410+00:00,8,13,5,11,3,3,15,8
hos40723184,https://www.rumah123.com/properti/jakarta-selatan-lebak-bulus/rumah-mewah-murah-2-lantai-di-lebak-bulus-rumah-dengan-tanah-luas-akses-strategis-di-tengah-kota-rumah-termurah-di-hos40723184/,Rumah 2 Lantai di Lebak Bulus Tanah Luas Akses Strategis Termurah,1900000000.0,"Rp 1,9 Miliar",IDR,Rumah,Jakarta Selatan,"Lebak Bulus, Jakarta Selatan","Stasiun MRT Lebak Bulus Grab, Jl. Lebak Bulus Raya, Lebak Bulus, Cilandak, Kota Jakarta Selatan, DKI Jakarta, Indonesia, 12440",-6.31254,106.804207,70.0,117.0,3.0,3.0,,,3.0,2.0,,Sudah Renovasi,SHM,Semi Furnished,2200.0,,Bata Merah,Granit,PAM atau PDAM,"Keamanan 24 Jam, Akses Parkir, CCTV, One Gate System, Wastafel, Kulkas, Mesin Cuci, Kitchen Set, Kompor, Water Heater, Tempat Jemuran, Kolam Renang, Teras, CCTV, Backyard, Tempat Cuci",Adi,PropertiTour,2026-02-20T17:28:06.547804+00:00,8,19,7,12,4,2,14,6
