region_id,month,mean_impact,sum_impact,freq_sentiment_score,article_count,n_very_positive,n_positive,n_neutral,n_negative,n_very_negative,dominant_category,dominant_sentiment
Jakarta Barat,2023-03,-0.0165,-0.0825,-0.2,5,0,2,0,3,0,market,negative
Jakarta Barat,2023-04,-0.018,-0.09,-0.2,5,0,2,0,3,0,market,negative
Jakarta Barat,2023-05,-0.017,-0.085,-0.2,5,0,2,0,3,0,market,negative
Jakarta Barat,2023-06,0.043333,0.13,1.0,3,0,3,0,0,0,market,positive
Jakarta Barat,2023-07,0.0375,0.075,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2023-08,0.02,0.02,1.0,1,0,1,0,0,0,market,positive
Jakarta Barat,2023-09,0.041667,0.125,1.0,3,0,3,0,0,0,infrastructure,positive
Jakarta Barat,2023-10,0.025,0.05,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2023-11,-0.003333,-0.01,0.3333,3,0,2,0,1,0,market,positive
Jakarta Barat,2023-12,0.065,0.13,2.0,2,1,1,0,0,0,development,positive
Jakarta Barat,2024-01,-0.061,-0.305,-1.4,5,0,1,0,2,2,disaster,very_negative
Jakarta Barat,2024-02,-0.026667,-0.08,-0.3333,3,0,1,0,2,0,disaster,negative
Jakarta Barat,2024-03,0.07,0.21,1.6667,3,1,2,0,0,0,development,positive
Jakarta Barat,2024-04,0.0375,0.075,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2024-05,0.0525,0.105,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2024-06,0.0475,0.095,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Barat,2024-07,0.0625,0.3125,1.4,5,1,4,0,0,0,policy,positive
Jakarta Barat,2024-08,0.0525,0.2625,1.4,5,1,4,0,0,0,market,positive
Jakarta Barat,2024-09,0.1075,0.43,2.5,4,3,1,0,0,0,infrastructure,very_positive
Jakarta Barat,2024-10,0.02,0.02,1.0,1,0,1,0,0,0,market,positive
Jakarta Barat,2024-11,0.0375,0.075,1.0,2,0,2,0,0,0,development,positive
Jakarta Barat,2024-12,0.01,0.03,0.3333,3,0,2,0,1,0,disaster,positive
Jakarta Barat,2025-01,0.01,0.02,0.5,2,0,1,1,0,0,market,positive
Jakarta Barat,2025-02,0.025,0.05,1.0,2,0,2,0,0,0,market,positive
Jakarta Barat,2025-03,0.04625,0.0925,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Barat,2025-04,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Barat,2025-05,0.04625,0.185,1.5,4,1,3,0,0,0,infrastructure,positive
Jakarta Barat,2025-06,0.051667,0.155,1.6667,3,1,2,0,0,0,infrastructure,positive
Jakarta Barat,2025-07,0.003333,0.01,0.3333,3,0,2,0,1,0,infrastructure,positive
Jakarta Barat,2025-08,0.03,0.03,1.0,1,0,1,0,0,0,infrastructure,positive
Jakarta Barat,2025-09,0.033333,0.1,1.0,3,0,3,0,0,0,development,positive
Jakarta Barat,2025-10,0.008333,0.025,0.3333,3,0,2,0,1,0,disaster,positive
Jakarta Barat,2025-11,0.09,0.18,2.0,2,1,1,0,0,0,infrastructure,positive
Jakarta Barat,2025-12,0.023333,0.07,1.0,3,1,1,0,1,0,market,positive
Jakarta Barat,2026-01,0.085,0.17,2.0,2,1,1,0,0,0,market,positive
Jakarta Barat,2026-02,0.02,0.06,0.6667,3,0,2,1,0,0,infrastructure,positive
Jakarta Pusat,2023-03,-0.0165,-0.0825,-0.2,5,0,2,0,3,0,market,negative
Jakarta Pusat,2023-04,-0.018,-0.09,-0.2,5,0,2,0,3,0,market,negative
Jakarta Pusat,2023-05,-0.002,-0.01,0.2,5,0,3,0,2,0,market,positive
Jakarta Pusat,2023-06,0.043333,0.13,1.0,3,0,3,0,0,0,market,positive
Jakarta Pusat,2023-07,0.03,0.06,1.0,2,0,2,0,0,0,infrastructure,positive
Jakarta Pusat,2023-08,0.03,0.03,1.0,1,0,1,0,0,0,development,positive
Jakarta Pusat,2023-09,0.045,0.18,1.0,4,0,4,0,0,0,policy,positive
Jakarta Pusat,2023-10,0.008333,0.025,0.3333,3,0,2,0,1,0,policy,positive
Jakarta Pusat,2023-11,0.03,0.09,1.0,3,0,3,0,0,0,development,positive
